store,order_id,city,state,shipping_charged,order_total,Clean_State
victus,9122,,BO-S,0,135.0,Santa Cruz
victus,9135,,BO-S,0,299.95,Santa Cruz
victus,9281,,BO-S,0,99.99,Santa Cruz
victus,9284,,BO-S,0,119.99,Santa Cruz
victus,9285,,BO-C,0,509.98,Cochabamba
victus,9286,,BO-S,0,125.0,Santa Cruz
victus,9287,,BO-S,0,135.0,Santa Cruz
victus,9288,,BO-C,0,169.98,Cochabamba
victus,9292,,BO-S,0,59.99,Santa Cruz
victus,9294,,BO-S,0,214.0,Santa Cruz
victus,9295,,BO-S,0,59.99,Santa Cruz
victus,9297,,BO-C,20,149.99,Cochabamba
victus,9639,,BO-S,0,59.99,Santa Cruz
victus,9640,,BO-S,0,179.98,Santa Cruz
victus,9705,,,0,186.99,Santa Cruz
victus,9706,,BO-L,0,119.98,La Paz
victus,9808,,BO-S,0,137.0,Santa Cruz
victus,9809,,BO-C,0,59.99,Cochabamba
victus,9810,,BO-L,0,319.96,La Paz
victus,9812,,BO-C,0,59.99,Cochabamba
victus,9813,,BO-L,0,59.99,La Paz
victus,9814,,BO-L,0,59.99,La Paz
victus,9815,,BO-L,0,319.99,La Paz
victus,9819,,BO-S,0,129.99,Santa Cruz
victus,9826,,BO-L,0,137.0,La Paz
victus,9836,,BO-C,0,59.99,Cochabamba
victus,9844,,BO-S,0,179.98,Santa Cruz
victus,9847,,,0,119.98,Santa Cruz
victus,9855,,BO-S,0,59.99,Santa Cruz
victus,9856,,,0,119.98,Santa Cruz
victus,9857,,,0,119.98,Santa Cruz
victus,9862,,BO-L,0,119.98,La Paz
victus,9864,,BO-L,0,99.99,La Paz
victus,9866,,BO-C,0,59.99,Cochabamba
victus,9867,,BO-C,0,119.99,Cochabamba
victus,9869,,BO-S,0,59.99,Santa Cruz
victus,9870,,,0,179.97,Santa Cruz
victus,9877,,BO-L,0,179.97,La Paz
victus,9878,,BO-L,0,279.97,La Paz
victus,9880,,BO-S,0,59.99,Santa Cruz
victus,9881,,BO-L,0,59.99,La Paz
victus,9889,,BO-L,0,119.98,La Paz
victus,9891,,BO-C,0,59.99,Cochabamba
victus,9892,,BO-C,0,259.97,Cochabamba
victus,9893,,BO-H,0,184.99,Chuquisaca
victus,9894,,BO-S,0,191.99,Santa Cruz
victus,9895,,BO-S,0,59.99,Santa Cruz
victus,9896,,BO-S,0,59.99,Santa Cruz
victus,9897,,BO-L,0,129.99,La Paz
victus,9898,,BO-L,0,137.0,La Paz
victus,9899,,,0,99.99,Santa Cruz
victus,9902,,,0,199.98,Santa Cruz
victus,9904,,BO-L,0,59.99,La Paz
